Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,1,0,0.2,0.2,0,0,2,1,1,1,1,2,0,0
0,0,0,0,2,64,0,0.1,0,0,2,2,2,1,2,2,0,0
0,-1,0,-1,1,-1,0.2,0.2,0,0,2,4,1,9,3,2,0,0
0,0,0,0,2,2.666667,0.05,0.14,0,0,2,3,2,2,4,2,0,0
0,0,0,0,10,627.5,0.02,0.05,0,0,2,3,3,1,4,2,1,0
0,0,0,0,19,154.2167,0.01578947,0.0245614,0,0,2,2,2,1,3,2,0,0
0,-1,0,-1,1,-1,0.2,0.2,0,0.4,2,2,4,3,3,2,0,0
1,-1,0,-1,1,-1,0.2,0.2,0,0,2,1,2,1,5,2,1,0
0,0,0,0,2,37,0,0.1,0,0.8,2,2,2,2,3,2,0,0
0,0,0,0,3,738,0,0.02222222,0,0.4,2,2,4,1,2,2,0,0
0,0,0,0,3,395,0,0.06666667,0,0,2,1,1,3,3,2,0,0
0,0,0,0,16,407.75,0.01875,0.02583333,0,0.4,2,1,1,4,3,2,0,0
0,0,0,0,7,280.5,0,0.02857143,0,0,2,1,1,1,3,2,0,0
0,0,0,0,6,98,0,0.06666667,0,0,2,2,5,1,3,2,0,0
0,0,0,0,2,68,0,0.1,0,0,2,3,2,3,3,2,0,0
2,53,0,0,23,1668.285,0.008333333,0.01631264,0,0,2,1,1,9,3,2,0,0
0,-1,0,-1,1,-1,0.2,0.2,0,0,2,1,1,4,3,2,0,0
0,0,0,0,13,334.9667,0,0.007692308,0,0,2,1,1,1,4,2,1,0
0,0,0,0,2,32,0,0.1,0,0,2,2,2,1,3,2,0,0
0,0,0,0,20,2981.167,0,0.01,0,0,2,2,4,4,4,2,0,0
0,0,0,0,8,136.1667,0,0.008333333,0,1,2,2,2,5,1,2,1,0
0,-1,0,-1,1,-1,0.2,0.2,0,0,2,3,3,1,3,2,0,0
0,0,0,0,3,105,0,0.03333333,0,0,2,3,2,1,5,2,0,0
0,0,0,0,2,15,0,0.1,0,0.8,2,2,4,1,3,2,0,0
0,-1,0,-1,1,-1,0.2,0.2,0,0,2,2,2,4,1,2,1,0
