MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,PayRate,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount
1,1,0,1,1,3,1,28.5,0,1,0,10,3,1987-11-24,1,1,2,0,2,2008-10-27,3,0,0,3,3,1,2.04,2,6
0,2,1,1,1,3,0,23,0,1,0,10,4,1984-04-26,0,0,2,0,2,2014-01-06,3,0,0,3,21,1,5,4,4
0,0,1,1,1,3,0,29,0,1,0,10,120,1986-09-01,0,3,2,0,5,2014-09-29,3,0,0,3,8,1,3.9,5,5
1,1,0,1,1,3,0,21.5,1,2,1,10,87,1985-09-16,1,1,2,0,5,2015-02-16,0,3,0,3,16,1,3.24,3,4
0,0,0,1,1,3,0,16.56,0,2,1,10,99,1988-05-19,1,3,2,0,5,2015-05-01,3,0,0,3,21,1,5,3,5
1,1,0,5,1,3,1,20.5,1,2,1,10,25,1987-06-14,1,1,2,0,1,2011-09-26,5,4,0,3,3,1,3.8,4,4
1,1,0,5,6,3,0,55,1,3,2,25,136,1964-06-01,1,1,0,0,2,2011-08-15,1,4,4,12,19,1,3.14,5,0
0,0,0,1,6,3,0,55,0,3,2,26,128,1963-05-15,1,3,2,0,5,2014-08-18,3,0,4,12,0,1,5,5,0
0,0,0,1,6,1,0,55,0,3,2,27,157,1987-05-14,1,3,2,1,5,2012-02-20,3,0,4,12,21,3,2.3,1,0
1,1,1,1,6,3,0,56,0,3,2,15,125,1988-09-14,0,1,2,0,0,2014-08-18,3,0,4,12,16,1,3.6,5,0
0,0,1,1,6,3,1,55.5,0,3,2,17,134,1969-02-24,0,3,2,1,4,2011-03-07,3,0,4,12,3,1,3.65,5,0
0,4,0,4,6,3,0,55,1,3,2,18,143,1971-07-10,1,4,2,0,2,2014-07-07,4,3,4,12,10,1,3.97,4,0
1,1,1,1,6,3,0,55.5,0,3,2,7,151,1954-10-12,0,1,2,0,5,2014-05-12,3,0,4,12,10,1,3.98,3,0
0,0,1,5,6,3,0,55,1,3,2,22,141,1969-02-09,0,3,2,0,4,2011-03-07,14,4,4,12,11,1,4.5,5,0
0,3,1,1,6,3,0,55,0,3,2,24,152,1988-12-27,0,2,2,0,2,2012-04-30,3,0,4,12,21,1,4.53,3,0
0,0,1,1,6,1,0,55,0,3,2,0,140,1975-11-02,0,3,2,0,4,2014-09-29,3,0,4,12,8,3,1.93,3,0
0,0,1,1,6,3,0,55,0,3,2,13,137,1982-05-19,0,3,2,0,5,2015-01-05,3,0,4,12,21,1,5,5,0
1,1,0,1,6,3,0,54,0,3,2,12,146,1989-05-12,1,1,2,0,2,2010-09-27,3,0,4,12,17,1,2,4,0
1,1,0,1,6,3,0,55,0,3,2,1,153,1991-05-23,1,1,2,0,4,2011-07-05,3,0,4,12,14,1,2.81,3,0
0,0,1,1,6,3,0,56,0,3,2,11,126,1989-07-11,0,3,2,0,1,2012-03-05,3,0,4,12,21,1,1.77,4,0
1,1,1,1,6,3,0,55,0,3,2,10,99,1975-07-07,0,1,2,0,5,2014-09-29,3,0,4,16,4,1,3.31,5,0
0,0,0,1,6,4,0,55,0,3,2,2,155,1988-11-08,1,3,2,0,5,2011-01-10,3,0,4,16,14,0,4.77,5,0
0,0,1,1,6,3,0,55,0,3,2,4,131,1963-08-28,0,3,2,0,2,2011-09-06,3,0,4,16,10,1,1.64,3,0
0,0,0,1,6,3,0,55,0,3,2,8,144,1989-09-22,1,3,2,0,5,2015-02-16,3,0,4,16,16,1,1.72,5,0
1,1,1,1,6,1,0,56,0,3,2,16,154,1974-05-09,0,1,2,0,5,2014-05-12,3,0,4,16,21,3,1.81,2,0
0,0,1,1,6,3,0,55,0,3,2,3,150,1979-11-27,0,3,2,0,5,2013-08-19,3,0,4,16,16,1,2.19,5,0
0,0,1,1,6,3,0,56,0,3,2,23,147,1970-06-11,0,3,0,0,2,2012-05-14,3,0,4,16,4,1,2.94,5,0
1,1,1,2,6,3,0,55,0,3,2,23,149,1984-07-01,0,1,2,0,4,2016-07-06,2,1,4,16,21,1,2.91,4,0
0,0,0,1,6,3,0,55,0,3,2,6,138,1989-03-31,1,3,2,0,4,2013-07-08,3,0,4,16,16,1,5,5,0
0,0,0,1,6,3,0,57,0,3,2,5,139,1990-05-11,1,3,2,1,5,2013-09-30,3,0,4,16,16,1,4.28,3,0
1,1,0,1,6,3,0,55,0,3,2,9,142,1988-08-29,1,1,2,0,2,2012-01-09,3,0,4,16,21,1,4.2,5,0
0,3,1,1,6,4,0,55,0,3,2,14,145,1968-01-15,0,2,2,0,5,2006-01-09,3,0,4,16,0,0,4.1,3,0
0,0,0,1,6,3,0,55,0,3,2,19,156,1965-05-07,1,3,2,0,2,2014-09-29,3,0,4,16,10,1,3.69,3,0
1,1,0,1,3,3,0,45,0,4,3,10,61,1980-05-12,1,1,2,0,2,2016-10-02,3,0,2,5,6,1,2.02,4,6
0,0,1,1,3,3,0,46,0,4,3,10,47,1983-09-04,0,3,2,0,5,2017-02-15,3,0,2,5,6,1,3.01,5,7
1,1,1,1,3,3,0,45,0,4,3,10,74,1987-10-24,0,1,2,0,5,2017-04-20,3,0,2,5,6,1,1.82,3,6
1,1,1,1,3,3,0,45,0,4,3,10,74,1989-06-30,0,1,2,0,2,2017-04-20,3,0,2,5,6,1,2.06,5,5
1,1,1,1,3,3,0,63.5,0,5,4,10,47,1972-02-09,0,1,2,0,5,2016-09-06,3,0,2,11,17,1,4.5,5,7
0,0,0,1,3,4,0,65,0,6,5,10,54,1979-08-30,1,3,2,0,5,2010-04-10,3,0,2,10,4,0,1.12,5,6
0,0,0,1,3,3,0,55,0,7,7,10,50,1972-11-21,1,3,2,0,2,2017-01-07,3,0,2,5,6,1,4.94,3,5
0,0,0,4,3,3,0,43,1,8,8,10,41,1986-04-04,1,3,2,1,5,2014-07-07,13,3,2,19,18,1,1.87,4,5
0,0,0,4,3,3,0,48.5,1,8,8,10,68,1971-10-23,1,3,2,0,5,2015-02-16,12,3,2,19,5,1,1.87,4,4
1,1,1,4,3,3,0,40.1,1,8,8,10,39,1986-08-07,0,1,2,0,2,2015-02-16,12,3,2,19,4,1,4.33,3,7
0,0,0,1,3,3,0,34,0,8,8,10,119,1984-02-21,1,3,2,0,5,2015-03-30,3,0,2,19,5,1,4.48,5,6
1,1,0,3,3,3,0,40,0,8,8,10,96,1986-11-07,1,1,2,0,1,2015-01-05,3,2,2,19,5,1,3.75,3,5
0,2,1,1,3,4,1,35.5,0,9,6,23,148,1988-07-04,0,0,2,0,2,2014-11-10,3,0,2,19,3,0,4.28,4,5
1,1,1,5,3,3,0,41,1,9,6,10,122,1984-09-05,0,1,2,0,5,2014-12-01,13,4,2,19,4,1,1.62,4,5
1,1,0,1,3,4,0,42.75,0,9,6,10,31,1984-09-16,1,1,2,0,1,2014-11-10,3,0,2,19,4,0,3.71,5,7
1,1,0,1,3,3,0,39.55,0,9,6,10,31,1981-10-11,1,1,2,0,5,2015-02-16,3,0,2,19,4,1,3.69,5,6
1,1,1,1,3,3,0,42.2,0,9,6,10,22,1986-08-26,0,1,2,0,5,2015-03-30,3,0,2,19,16,1,3.04,3,6
0,2,1,5,3,3,0,45,1,9,6,10,109,1987-12-17,0,0,2,0,2,2015-01-05,7,4,2,19,20,1,2.19,3,5
1,1,1,1,3,3,0,30.2,0,9,6,10,61,1970-02-08,0,1,2,1,5,2015-01-05,3,0,2,19,4,1,3.32,3,7
