Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,thinness__1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling
0,2015,1,65,263,62,0.01,71.27962,65,1154,19.1,83,6,8.16,65,0.1,584.2592,3.373649e+007,17.2,17.3,0.479,10.1
0,2014,1,59.9,271,64,0.01,73.52358,62,492,18.6,86,58,8.18,62,0.1,612.6965,327582,17.5,17.5,0.476,10
0,2013,1,59.9,268,66,0.01,73.21924,64,430,18.1,89,62,8.13,64,0.1,631.745,3.173169e+007,17.7,17.7,0.47,9.9
0,2012,1,59.5,272,69,0.01,78.18422,67,2787,17.6,93,67,8.52,67,0.1,669.959,3696958,17.9,18,0.463,9.8
0,2011,1,59.2,275,71,0.01,7.097109,68,3013,17.2,97,68,7.87,68,0.1,63.53723,2978599,18.2,18.2,0.454,9.5
0,2010,1,58.8,279,74,0.01,79.67937,66,1989,16.7,102,66,9.2,66,0.1,553.3289,2883167,18.4,18.4,0.448,9.2
0,2009,1,58.6,281,77,0.01,56.76222,63,2861,16.2,106,63,9.42,63,0.1,445.8933,284331,18.6,18.7,0.434,8.9
0,2008,1,58.1,287,80,0.03,25.87393,64,1599,15.7,110,64,8.33,64,0.1,373.3611,2729431,18.8,18.9,0.433,8.7
0,2007,1,57.5,295,82,0.02,10.91016,63,1141,15.2,113,63,6.73,63,0.1,369.8358,2.661679e+007,19,19.1,0.415,8.4
0,2006,1,57.3,295,84,0.03,17.17152,64,1990,14.7,116,58,7.43,58,0.1,272.5638,2589345,19.2,19.3,0.405,8.1
0,2005,1,57.3,291,85,0.02,1.388648,66,1296,14.2,118,58,8.7,58,0.1,25.29413,257798,19.3,19.5,0.396,7.9
0,2004,1,57,293,87,0.02,15.29607,67,466,13.8,120,5,8.79,5,0.1,219.1414,2.411898e+007,19.5,19.7,0.381,6.8
0,2003,1,56.7,295,87,0.01,11.08905,65,798,13.4,122,41,8.82,41,0.1,198.7285,2364851,19.7,19.9,0.373,6.5
0,2002,1,56.2,3,88,0.01,16.88735,64,2486,13,122,36,7.76,36,0.1,187.8459,2.197992e+007,19.9,2.2,0.341,6.2
0,2001,1,55.3,316,88,0.01,10.57473,63,8762,12.6,122,35,7.8,33,0.1,117.497,2966463,2.1,2.4,0.34,5.9
0,2000,1,54.8,321,88,0.01,10.42496,62,6532,12.2,122,24,8.2,24,0.1,114.56,293756,2.3,2.5,0.338,5.5
1,2015,1,77.8,74,0,4.6,364.9752,99,0,58,0,99,6,99,0.1,3954.228,28873,1.2,1.3,0.762,14.2
1,2014,1,77.5,8,0,4.51,428.7491,98,0,57.2,1,98,5.88,98,0.1,4575.764,288914,1.2,1.3,0.761,14.2
